code,description_es,description_pt
H448,Otros trastornos del globo ocular,Outros transtornos do globo ocular
H449,Trastorno del globo ocular,Transtorno não especificado do globo ocular
H45,Trastornos del cuerpo vítreo y del globo ocular en enfermedades clasificadas en otra parte,
H450,Hemorragia del vítreo en enfermedades clasificadas en otra parte,Hemorragia vítrea em doenças classificadas em outra parte
H451,Endoftalmitis en enfermedades clasificadas en otra parte,Endoftalmite em doenças classificadas em outra parte
H458,Otros trastornos del cuerpo vítreo y del globo ocular en enfermedades clasificadas en otra parte,Outros transtornos do humor vítreo e do globo ocular em doenças classificadas em outra parte
H46,Neuritis óptica,Neurite óptica
H46-H48,Trastornos del nervio óptico y de las vías ópticas,
H47,Otros trastornos del nervio óptico [II par] y de las vías ópticas,
H470,Trastornos del nervio óptico,Transtornos do nervo óptico não classificados em outra parte
H471,Papiledema,Papiledema não especificado
H472,Atrofia óptica,Atrofia óptica
H473,Otros trastornos del disco óptico,Outros transtornos do disco óptico
H474,Trastornos del quiasma óptico,Transtornos do quiasma óptico
H475,Trastornos de otras vías ópticas,Transtornos de outras vias ópticas
H476,Trastornos de la corteza visual,Transtornos do córtex visual
H477,Trastorno de las vías ópticas,Transtornos não especificados das vias ópticas
H48,Trastornos del nervio óptico [II par] y de las vías ópticas en enfermedades clasificadas en otra parte,
H480,Atrofia óptica en enfermedades clasificadas en otra parte,Atrofia óptica em doenças classificadas em outra parte
H481,Neuritis retrobulbar en enfermedades clasificadas en otra parte,Neurite retrobulbar em doenças classificadas em outra parte
H488,Otros trastornos del nervio óptico y de las vías ópticas en enfermedades clasificadas en otra parte,Outros transtornos do nervo óptico e das vias ópticas em doenças classificadas em outra parte
H49,Estrabismo paralítico,
H49-H52,binocular,
H490,Parálisis del nervio motor ocular común [III par],Paralisia do terceiro par [oculomotor]
H491,Parálisis del nervio patético [IV par],Paralisia do quarto par [troclear]
H492,Parálisis del nervio motor ocular externo [VI par],Paralisia do sexto par [abducente]
H493,Oftalmoplejía total (externa),Oftalmoplegia total (externa)
H494,Oftalmoplejía externa progresiva,Oftalmoplegia externa progressiva
H498,Otros estrabismos paralíticos,Outros estrabismos paralíticos
H499,Estrabismo paralítico,Estrabismo paralítico não especificado
H50,Otros estrabismos,
H500,Estrabismo concomitante convergente,Estrabismo convergente concomitante
H501,Estrabismo concomitante divergente,Estrabismo divergente concomitante
H502,Estrabismo vertical,Estrabismo vertical
H503,Heterotropía intermitente,Heterotropia intermitente
H504,Otras heterotropías o las no especificadas,Outras heterotropias e as não especificadas
H505,Heteroforia,Heteroforia
H506,Estrabismo mecánico,Estrabismo mecânico
H508,Otros estrabismos especificados,Outros estrabismos especificados
H509,Estrabismo,Estrabismo não especificado
H51,Otros trastornos de los movimientos binoculares,
H510,Parálisis de la conjugación de la mirada,Paralisia do olhar conjugado
H511,Exceso e insuficiencia de la convergencia ocular,Insuficiência ou excesso de convergência
H512,Oftalmoplejía internuclear,Oftalmoplegia internuclear
H518,Otros trastornos especificados de los movimientos binoculares,Outros transtornos especificados do movimento binocular
H519,Trastorno del movimiento binocular,Transtorno não especificado do movimento binocular
H52,Trastornos de la acomodación y de la refracción,
H520,Hipermetropía,Hipermetropia
H521,Miopía,Miopia
H522,Astigmatismo,Astigmatismo
H523,Anisometropía y aniseiconía,Anisometropia e aniseiconia
H524,Presbicia,Presbiopia
H525,Trastornos de la acomodación,Transtornos da acomodação
H526,Otros trastornos de la refracción,Outros transtornos da refração
H527,Trastorno de la refracción,Transtorno não especificado da refração
H53,Alteraciones de la visión,
H53-H54,Alteraciones de la visión y ceguera,
H530,Ambliopía ex anopsia,Ambliopia por anopsia
H531,Alteraciones visuales subjetivas,Distúrbios visuais subjetivos
H532,Diplopía,Diplopia
H533,Otros trastornos de la visión binocular,Outros transtornos da visão binocular
H534,Defectos del campo visual,Defeitos do campo visual
H535,Deficiencia de la visión cromática,Deficiências da visão cromática
H536,Ceguera nocturna,Cegueira noturna
H538,Otras alteraciones visuales,Outros distúrbios visuais
H539,Alteración visual,Distúrbio visual não especificado
H54,Ceguera y disminución de la agudeza visual,
H540,Ceguera de ambos ojos,"Cegueira, ambos os olhos"
H541,Ceguera de un ojo,Cegueira em um olho e visão subnormal em outro
H542,Visión subnormal de ambos ojos,Visão subnormal de ambos os olhos
H543,Disminución indeterminada de la agudeza visual en ambos ojos,Perda não qualificada da visão em ambos os olhos
H544,Ceguera de un ojo,Cegueira em um olho
H545,Visión subnormal de un ojo,Visão subnormal em um olho
H546,Disminución indeterminada de la agudeza visual de un ojo,Perda não qualificada da visão em um olho
H547,Disminución de la agudeza visual,Perda não especificada da visão
H55,Nistagmo y otros movimientos oculares irregulares,Nistagmo e outros movimentos irregulares do olho
H55-H59,Otros trastornos del ojo y sus anexos,
H57,Otros trastornos del ojo y sus anexos,
H570,Anomalías de la función pupilar,Anomalias da função pupilar
H571,Dolor ocular,Dor ocular
H578,Otros trastornos especificados del ojo y sus anexos,Outros transtornos especificados do olho e anexos
H579,Trastorno del ojo y sus anexos,Transtorno não especificado do olho e anexos
H58,Otros trastornos del ojo y sus anexos en enfermedades clasificadas en otra parte,
H580,Anomalías de la función pupilar en enfermedades clasificadas en otra parte,Anomalias da função pupilar em doenças classificadas em outra parte
H581,Alteraciones de la visión en enfermedades clasificadas en otra parte,Distúrbios visuais em doenças classificadas em outra parte
H588,Otros trastornos especificados del ojo en enfermedades clasificadas en otra parte,Outros transtornos especificados do olho e anexos em doenças classificadas em outra parte
H59,Trastornos del ojo y sus anexos consecutivos a procedimientos,
H590,Queratopatía (bullosa afáquica) consecutiva a cirugía de catarata,Ceropatia (bolhosa afácica) subseqüente a cirurgia de catarata
H598,Otros trastornos del ojo y sus anexos,Outros transtornos do olho e anexos pós-procedimentos
H599,Trastorno no especificado del ojo y sus anexos,Transtorno não especificado do olho e anexos pós-procedimento
H60,Otitis externa,
H60-H62,Enfermedades del oído externo,
H60-H95,Enfermedades del oído y de la apófisis mastoides,
H600,Absceso del oído externo,Abscesso do ouvido externo
H601,Celulitis del oído externo,Celulite do ouvido externo
H602,Otitis externa maligna,Otite externa maligna
H603,Otras otitis externas infecciosas,Outras otites externas infecciosas
H604,Colesteatoma del oído externo,Colesteatoma do ouvido externo
H605,Otitis externa aguda,Otite externa aguda não-infecciosa
H608,Otras otitis externas,Outras otites externas
H609,Otitis externa,Otite externa não especificada
H61,Otros trastornos del oído externo,
H610,Pericondritis del oído externo,Pericondrite do pavilhão da orelha
H611,Afecciones no infecciosas del pabellón auditivo,Transtornos não-infecciosos do pavilhão da orelha
H612,Cerumen impactado,Cerume impactado
H613,Estenosis adquirida del conducto auditivo externo,Estenose adquirida do conduto auditivo externo
H618,Otros trastornos especificados del oído externo,Outros transtornos especificados do ouvido externo
H619,Trastorno del oído externo,Transtorno não especificado do ouvido externo
H62,Trastornos del oído externo en enfermedades clasificadas en otra parte,
H620,Otitis externa en enfermedades bacterianas clasificadas en otra parte,Otite externa em doenças bacterianas classificadas em outra parte
H621,Otitis externa en enfermedades virales clasificadas en otra parte,Otite externa em doenças virais classificadas em outra parte
H622,Otitis externa en micosis,Otite externa em micoses
H623,Otitis externa en otras enfermedades infecciosas y parasitarias clasificadas en otra parte,Otite externa em outras doenças infecciosas e parasitárias classificadas em outra parte
H624,Otitis externa en otras enfermedades clasificadas en otra parte,Otite externa em outras doenças classificadas em outra parte
H628,Otros trastornos del oído externo en enfermedades clasificadas en otra parte,Outros transtornos do ouvido externo em doenças classificadas em outra parte
H65,Otitis media no supurativa,
H65-H75,Enfermedades del oído medio y de la mastoides,
H650,Otitis media aguda serosa,Otite média aguda serosa
H651,Otra otitis media aguda,Outras otites médias agudas não-supurativas
H652,Otitis media crónica serosa,Otite média serosa crônica
H653,Otitis media crónica mucoide,Otite média mucóide crônica
H654,Otras otitis medias crónicas no supurativas,Outras otites médias crônicas não-supurativas
H659,Otitis media no supurativa,"Otite média não-supurativa, não especificada"
H66,Otitis media supurativa y la no especificada,
H660,Otitis media supurativa aguda,Otite média aguda supurativa
H661,Otitis media tubotimpánica supurativa crónica,Otite média tubotimpânica supurativa crônica
H662,Otitis media supurativa crónica aticoantral,Otite média ático-antral supurativa crônica
H663,Otras otitis medias crónicas supurativas,Outras otites médias supurativas crônicas
H664,Otitis media supurativa,Otite média supurativa não especificada
H669,Otitis media,Otite média não especificada
H67,Otitis media en enfermedades clasificadas en otra parte,
H670,Otitis media en enfermedades bacterianas clasificadas en otra parte,Otite média em doenças bacterianas classificadas em outra parte
H671,Otitis media en enfermedades virales clasificadas en otra parte,Otite média em doenças virais classificadas em outra parte
H678,Otitis media en otras enfermedades clasificadas en otra parte,Otite média em outras doenças classificadas em outra parte
H68,Inflamación y obstrucción de la trompa de Eustaquio,
H680,Salpingitis eustaquiana,Salpingite da trompa de Eustáquio
H681,Obstrucción de la trompa de Eustaquio,Obstrução da trompa de Eustáquio
H69,Otros trastornos de la trompa de Eustaquio,
H690,Distensión de la trompa de Eustaquio,Trompa de Eustáquio aberta (patente) (patulosa)
H698,Otros trastornos especificados de la trompa de Eustaquio,Outros transtornos especificados da trompa de Eustáquio
H699,Trastorno de la trompa de Eustaquio,Transtorno não especificado da trompa de Eustáquio
H70,Mastoiditis y afecciones relacionadas,
H700,Mastoiditis aguda,Mastoidite aguda
H701,Mastoiditis crónica,Mastoidite crônica
H702,Petrositis,Petrosite
H708,Otras mastoiditis y afecciones relacionadas,Outras mastoidites e afecções relacionadas com a mastoidite
H709,Mastoiditis,Mastoidite não especificada
H71,Colesteatoma del oído medio,Colesteatoma do ouvido médio
H72,Perforación de la membrana timpánica,
H720,Perforación central de la membrana timpánica,Perfuração central da membrana do tímpano
H721,Perforación ática de la membrana timpánica,Perfuração ática da membrana do tímpano
H722,Otras perforaciones marginales de la membrana timpánica,Outras perfurações marginais da membrana do tímpano
H728,Otras perforaciones de la membrana timpánica,Outras perfurações da membrana do tímpano
H729,Perforación de la membrana timpánica,Perfuração não especificada da membrana do tímpano
H73,Otros trastornos de la membrana timpánica,
H730,Miringitis aguda,Miringite aguda
H731,Miringitis crónica,Miringite crônica
H738,Otros trastornos especificados de la membrana timpánica,Outros transtornos especificados da membrana do tímpano
H739,Trastorno de la membrana timpánica,Transtorno não especificado da membrana do tímpano
H74,Otros trastornos del oído medio y de la apófisis mastoides,
H740,Timpanosclerosis,Timpanosclerose
H741,Enfermedad adhesiva del oído medio,Doença adesiva do ouvido médio
H742,Discontinuidad y dislocación de los huesecillos del oído,Descontinuidade e deslocamento dos ossículos do ouvido
H743,Otras anormalidades adquiridas de los huesecillos del oído,Outras anormalidades adquiridas dos ossículos do ouvido
H744,Pólipo del oído medio,Pólipo do ouvido médio
H748,Otros trastornos especificados del oído medio y de la apófisis mastoides,Outros transtornos especificados do ouvido médio e da mastóide
H749,Trastorno del oído medio y de la apófisis mastoides,Transtorno não especificado do ouvido médio e da mastóide
H75,Otros trastornos del oído medio y de la apófisis mastoides en enfermedades clasificadas en otra parte,
H750,Mastoiditis en enfermedades infecciosas y parasitarias clasificadas en otra parte,Mastoidite em doenças infecciosas e parasitárias classificadas em outra parte
